id,initial,id,env,respdate,respage,respweight,vco2,vo2,rq,resptemp,agg,winner,color,aggdate,aggage,aggweight,female,aggtrial,aggtemp,agghumidity,numwins,numbat,totalbattle,avgbattle,firstbatlength,aggsong,firstaggsonglength,firstcalllength,called,calllatency,firstmalecall,firstmaleaggsong,firstuniquebehavior,firstwinner,totalcall,totalcallperbat,totalaggsong,tasperbat,behave,fbtotalscore,fbtotalscoreperbat,rbtotalscoreperbat,dis,disdate,disage,distime,disweight,accessory,testes,flight,hind leg #,hindlegmass,hindleglength,forewinglength,hindwing,hindwinglength,rec,recnum,recage,recweight,recdate,mic,starttime,stoptime,rectemp,rechumidity,file,chirprate,chirpduration,# pulses,pulseduration,df
58,BP/VW,AD58,L,2017-07-25,4,0.341,4.55,6.72,0.68,24.4,y,0,Black,2017-07-27,6,0.341,Y,20,22.946,57.621,0,,,,,y,1.745,8.766,y,158.215,0,0,1,0,75.499,1.134470323,57.895,0.869947408,y,39,1.069871,0.764196,y,2017-07-31,10,14:53,0.3400,0.0238,0.0319,0.0504,2,0.0517,26.38,10.34,y,24.06,y,1,5,0.341,2017-07-26,3,12:15,12:48,23.041,57.944,B,0.880001052,0.090818794,2.185031185,0.02555578,4846.419815
87,VW,AD87,H,2017-07-27,5,0.342,5.56,7.51,0.74,24.3,y,0,Black,2017-07-31,9,0.342,N,30,23.094,53.488,1,,,,,y,59.8,198.962,y,82.374,1,0,0,0,646.39,7.585045588,59.8,0.701721447,y,22,1.207596882,1.044760526,y,2017-08-01,9,13:54,0.3350,0.0171,0.0324,0.0237,2,0.0461,19.52,10.07,y,16.99,y,1,6,0.342,2017-07-28,4,09:43,11:05,22.796,57.863,A,2.627169316,0.129287,2.745,0.023110655,5028.474427
67,BP,AD67,H,2017-07-25,4,0.283,2.63,4.64,0.57,25.6,y,1,White,2017-07-27,6,0.283,N,19,22.814,57.308,6,9,14.633,1.625889,0.901,y,8.024,214.998,y,153.67,1,1,1,1,505.802,34.56584432,62.722,4.286339097,y,2,2.219756,2.840082,y,2017-07-29,8,11:06,0.2810,0.0180,0.0293,0.0337,2,0.0254,23.26,13.77,y,14.94,y,1,5,0.283,2017-07-26,1,11:30,12:11,22.886,58.474,A,2.058158783,0.125359465,2.904737384,0.021542472,4568.439018
54,VW,AD54,L,2017-07-24,4,0.332,2.66,5.02,0.53,26.7,y,1,White,2017-07-26,6,0.332,Y,14,24.914,50.05,8,11,55.17,5.015455,16.75,y,5.524,1.255,y,233.825,0,0,0,0,1.255,0.02274787,63.703,1.154667392,y,5,0.298507,1.223321,y,2017-07-27,7,14:56,0.3380,0.0194,0.0344,0.0527,2,0.0516,20.98,10.50,y,17.04,y,1,5,0.332,2017-07-25,2,12:24,12:50,22.772,64.481,B,1.679611856,0.125384907,2.85046729,0.013569299,4987.399376
38,BP,AD38,L,2017-07-23,4,0.314,4.64,6.35,0.73,24.6,y,1,Black,2017-07-26,7,0.314,N,15,23.747,52.382,2,2,79.58,39.79,76.794,y,2.044,3.773,y,124.563,1,0,0,1,483.869,6.080283991,69.279,0.870557929,y,100,1.302185,3.589375,y,2017-07-27,8,14:46,0.2950,0.0197,0.0360,0.0330,2,0.0414,22.33,10.12,y,14.77,y,2,8,0.314,2017-07-27,4,08:20,08:58,23.58,56.1,A,0.318385095,0.066563913,2.382608696,0.008818609,4552.055029
28,VW,AD28,L,2017-07-19,4,0.247,3.03,3.98,0.76,23.7,y,1,Black,2017-07-26,11,0.247,Y,12,23.98,55.924,2,2,29.53,14.765,17.251,y,32.53,16.014,y,26.179,1,1,0,1,289.654,9.808804605,80.077,2.711716898,y,26,1.507159,0.094224,y,2017-07-27,12,14:03,0.2500,0.0199,0.0265,0.0275,2,0.0334,22.25,10.13,y,14.33,y,1,5,0.247,2017-07-20,2,15:10,16:08,22.017,67.757,G,0.395894969,0.083791131,2.116071429,0.020126815,4629.825411
64,VW,AD64,L,2017-07-25,4,0.353,2.24,3.86,0.58,25.2,y,1,Black,2017-07-30,9,0.353,N,27,24.061,51.243,4,4,13.046,3.2615,10.06,y,63.796,803.847,y,86.093,1,1,1,1,803.847,61.6163575,87.583,6.713398743,y,15,1.491054,6.697924,y,2017-07-31,10,15:33,0.3570,0.0273,0.0365,0.0590,2,0.0484,24.56,10.24,y,24.21,y,1,5,0.353,2017-07-26,1,13:00,13:27,22.86,57.436,C,1.975425819,0.083602267,2.218944099,0.023044332,4982.724399
76,VW,AD76,L,2017-07-26,4,0.341,3.31,5.2,0.64,24.3,y,0,Black,2017-07-28,6,0.341,N,21,22.141,63.731,1,,,,,y,77.907,4.247,y,112.754,0,0,0,0,12.72,0.117985345,105.215,0.975929877,y,80,1.010127,1.363064,y,2017-07-31,9,14:20,0.3260,0.0232,0.0318,0.0420,2,0.0464,24.36,9.68,y,17.09,y,1,5,0.341,2017-07-27,3,08:20,08:58,23.58,56.1,A,0.255061887,0.100365955,2.415730337,0.015834382,4925.194218
75,VW,AD75,L,2017-07-26,4,0.338,3.82,6.17,0.62,24.5,y,1,White,2017-07-31,9,0.338,N,30,23.094,53.488,2,3,85.219,28.40633,18.218,y,27.786,16.012,y,300.572,0,1,1,1,16.012,0.187892371,106.557,1.250390171,y,22,1.207596882,1.089535977,y,2017-08-01,10,15:05,0.3270,0.0207,0.0318,0.0611,2,0.0476,25.59,10.09,y,22.75,y,1,5,0.338,2017-07-27,2,11:09,12:20,22.789,58.13,D,0.483994371,0.117575612,2.710106383,0.02598734,4661.852251
56,VW,AD56,L,2017-07-25,4,0.3,5.95,7.72,0.51,23.7,y,1,White,2017-07-27,6,0.3,Y,18,22.851,58.188,7,7,31.165,4.452143,6.04,y,4.004,2.749,y,146.121,0,1,1,1,68.942,15.48512705,118.35,26.5827041,y,11,1.821192,1.59204,y,2017-07-31,10,15:02,0.2980,0.0199,0.0298,0.0400,2,0.0450,25.03,9.42,y,15.88,y,1,5,0.3,2017-07-26,4,12:15,12:48,23.041,57.944,B,1.084790181,0.116204621,1.880866426,0.003296426,5127.801448
41,BP,AD41,H,2017-07-23,4,0.323,4.36,5.97,0.73,25.4,y,1,Black,2017-07-24,5,0.323,Y,11,24.569,50.331,2,2,33.449,16.7245,25.975,y,119.493,39.56,y,94.245,1,1,1,1,659.513,19.71697211,119.493,3.572393794,y,46,1.770934,1.928826,y,2017-07-25,6,13:21,0.3090,0.0178,0.0401,0.0384,1,0.0239,16.75,10.77,y,17.36,y,1,5,0.323,2017-07-24,3,09:20,09:57,22.298,68.956,B,1.544080637,0.103570147,2.568942436,0.021378554,5103.298936
77,VW,AD77,H,2017-07-26,4,0.339,3.27,4.94,0.66,24.7,y,1,White,2017-07-28,6,0.339,N,21,22.141,63.731,3,4,107.81,26.9525,79.198,y,87.58,164.124,y,12.669,1,0,1,1,618.315,5.735228643,132.166,1.225915963,y,80,1.010127,1.432965,y,2017-07-29,7,11:39,0.3210,0.0166,0.0368,0.0348,2,0.0458,23.80,9.00,y,15.60,y,1,5,0.339,2017-07-27,1,08:20,08:58,23.58,56.1,A,1.805105061,0.109718969,2.936196319,0.009326356,4850.100652
18,VW,AD18,L,2017-07-18,4,0.315,3.93,10.7,0.37,23.7,y,1,Black,2017-07-21,7,0.315,Y,5,22,67.91,3,3,37.32,12.44,12.579,y,61.834,76.585,y,51.749,1,1,1,1,139.788,3.745659164,132.961,3.56272776,y,26,2.066937,2.223031,y,2017-07-23,9,08:41,0.3211,0.0266,0.0311,0.0530,2,0.0467,24.38,9.53,y,16.44,y,1,7,0.315,2017-07-21,1,09:23,11:25,21.387,66.651,A,0.573220895,0.094862773,2.434173669,0.015447451,4758.263171
32,RR/VW,AD32,H,2017-07-21,4,0.246,2.54,3.92,0.65,23.9,y,1,Black,2017-07-22,5,0.246,Y,6,21.845,68.338,10,10,38.082,3.8082,2.47,y,5.003,176.945,y,24.117,1,1,1,1,289.053,7.590278872,139.163,3.654298619,y,5,2.024291,1.205516,y,2017-07-24,7,12:09,0.2370,0.0123,0.0310,0.0292,2,0.0360,16.69,9.05,y,11.25,y,1,4,0.246,2017-07-21,1,14:23,15:20,20.698,66.88,D,2.32384057,0.091590399,2.45212766,0.020613856,4918.885739
70,RR,AD70,L,2017-07-26,5,0.3315,4.5,6.88,0.66,23.7,y,1,Black,2017-07-28,7,0.332,Y,22,24.242,53.652,5,5,61.799,12.3598,42.292,y,61.045,211.483,y,25.532,1,0,1,1,618.982,10.01605204,148.621,2.404909465,y,42,0.993096,2.819501,y,2017-07-31,10,15:44,0.3400,0.0217,0.0328,0.0393,2,0.0454,25.44,10.01,y,16.75,y,1,7,0.3315,2017-07-28,1,09:43,11:05,22.796,57.863,A,0.942357987,0.076129504,2.123966942,0.010952769,4913.607512
91,CM,AD91,H,2017-07-28,5,0.325,4.34,6.68,0.65,24.8,y,1,White,2017-07-31,8,0.325,N,29,23.676,54.865,10,10,17.782,1.7782,4.504,y,6.002,107.062,y,65.571,1,0,0,1,468.831,26.36548195,150.872,8.484534923,y,6,1.332149,4.292815,y,2017-08-01,9,14:28,0.3060,0.0182,0.0261,0.0512,2,0.0402,19.57,10.28,y,12.13,y,1,5,0.325,2017-07-28,2,12:45,13:21,22.42,58.477,C,1.332555733,0.122381524,3.057001239,0.013750607,4902.431483
20,VW,AD20,L,2017-07-18,4,0.271,2.39,3.49,0.69,24.1,y,1,Black,2017-07-22,8,0.271,N,7,21.767,67.893,6,6,14.365,2.394167,2.235,y,5.292,1.527,y,15.877,1,1,1,1,204.781,14.25555169,153.719,10.70093978,y,5,2.237136,2.061006,y,2017-07-24,10,12:46,0.2590,0.0185,0.0264,0.0403,1,0.0386,17.67,8.57,y,14.69,y,1,6,0.271,2017-07-20,3,16:08,16:47,21.938,67.683,H,0.824578576,0.136700471,3.197058824,0.016263353,4315.966437
62,VW,AD62,L,2017-07-25,4,0.348,2.33,4.5,0.52,25.1,y,1,White,2017-07-30,9,0.348,N,26,23.865,52.336,7,7,41.392,5.913143,30.864,y,52.368,35.74,y,25.492,1,1,0,1,524.299,12.66667472,159.06,3.84277155,y,42,1.360809,2.754559,y,2017-07-31,10,15:12,0.3360,0.0209,0.0315,0.0466,2,0.0471,24.76,10.25,y,22.82,y,1,5,0.348,2017-07-26,3,15:10,16:27,22.6,57.93,D,0.756372866,0.086063662,2.245472837,0.022629115,4630.222745
63,VW,AD63,L,2017-07-25,4,0.364,2.92,3.38,0.86,25.1,y,1,White,2017-07-28,7,0.364,Y,24,22.575,61.587,10,10,39.17,3.917,28.295,y,5.499,29.301,y,10.219,1,1,1,1,396.93,10.13352055,161.699,4.128133776,y,42,1.484361,3.770115,y,2017-07-31,10,14:27,0.3700,0.0297,0.0356,0.0582,2,0.0483,25.35,10.10,y,16.44,y,2,9,0.364,2017-07-30,3,14:00,15:13,22.931,52.521,B,0.56281177,0.079789918,2.088962109,0.022139802,4834.346365
40,BP,AD40,H,2017-07-23,4,0.342,4.52,8.54,0.53,25.3,y,1,Black,2017-07-24,5,0.342,N,8,27.82,43.746,21,21,37.421,1.781952,1.435,y,1.247,2.51,y,145.913,1,1,1,1,70.334,1.879532883,171.451,4.581678737,y,4,2.787456,2.917801,y,2017-07-25,6,13:32,0.3660,0.0216,0.0387,0.0531,2,0.0532,25.86,9.96,y,24.61,y,2,6,0.342,2017-07-25,3,12:58,13:21,22.888,64.375,C,1.686236737,0.128118192,3.016018307,0.024158947,4835.548664
7,BP,AD7,L,2017-07-15,4,0.306,3.51,5.48,0.64,25.5,y,1,Black,2017-07-17,6,0.306,N,1,21.206,60.614,10,10,30.033,3.0033,8.209,y,31.09,20.704,y,275.025,1,1,0,1,307.089,10.22505244,184.019,6.127226717,y,8,0.97454,1.878666,y,2017-07-26,15,13:05,0.3110,0.0327,0.0247,0.0268,2,0.0369,23.71,10.15,y,14.48,y,1,6,0.306,2017-07-17,4,11:30,13:00,22.572,58.791,A,0.907236671,0.131989246,2.543650794,0.012461706,4562.850226
47,BP,AD47,L,2017-07-24,5,0.211,2.67,4.4,0.61,25.4,y,1,Black,2017-07-24,5,0.211,Y,10,25.628,47.63,4,4,39.838,9.9595,33.483,y,8.917,135.382,y,125.621,1,1,1,1,630.799,15.83410312,195.129,4.898062152,y,45,1.343966,5.822187,y,2017-07-25,6,14:56,0.2030,0.0150,0.0248,0.0290,1,0.0161,16.04,9.03,y,12.70,y,1,5,0.211,2017-07-24,1,11:12,12:32,24.028,69.633,C,0.86404866,0.072568812,2.415708812,0.011377605,5516.315331
22,VW,AD22,L,2017-07-18,4,0.285,3.09,4.64,0.67,23.6,y,1,White,2017-07-21,7,0.285,N,4,21.796,67.811,9,9,37.402,4.155778,1.539,y,1.004,1.002,y,102.543,1,1,1,1,38.681,1.034196032,207.511,5.548125769,y,2,1.299545,0.529794,y,2017-07-21,7,15:43,0.2750,0.0186,0.0274,0.0324,2,0.0402,24.39,9.61,n,0.00,y,1,6,0.285,2017-07-20,1,16:08,16:47,21.938,67.683,H,0.511926842,0.088942754,2.188405797,0.018785845,4713.742171
71,RR,AD71,H,2017-07-26,5,0.404,3.45,5.49,0.63,24.2,y,1,Black,2017-07-28,7,0.404,N,23,23.99,56.918,12,12,78.812,6.567667,28.862,y,39.223,5.758,y,146.959,1,1,1,1,78.338,0.993985687,221.217,2.806894889,y,40,1.385905,2.302302,y,2017-07-31,10,13:16,0.4040,0.0239,0.0409,0.0530,2,0.0614,26.61,10.67,y,23.70,y,1,6,0.404,2017-07-27,1,09:03,09:40,23.58,56.1,B,1.656051983,0.126197303,2.958801498,0.01620736,4913.530098
44,RR,AD44,L,2017-07-23,4,0.285,3.08,5.1,0.6,25.3,y,1,White,2017-07-27,8,0.285,N,17,22.395,59.145,15,15,65.862,4.3908,2.82,y,5.285,8.239,y,335.808,1,1,1,1,103.147,1.566107923,230.457,3.499089004,y,4,1.41844,1.284858,y,2017-07-31,12,14:44,0.2900,0.0235,0.0294,0.0446,2,0.0379,18.60,12.22,y,15.90,y,1,5,0.285,2017-07-24,4,09:20,09:57,22.298,68.956,B,0.949547583,0.131132064,3.380952381,0.014519524,4840.766059
59,VW,AD59,H,2017-07-25,4,0.339,4.81,7.6,0.63,24.4,y,1,White,2017-07-27,6,0.339,Y,20,22.946,57.621,12,12,66.55,5.545833,36.453,y,1.745,7.046,y,45.333,1,0,0,1,432.927,6.505289256,288.848,4.340315552,y,52,1.426494,2.02678,y,2017-07-31,10,13:37,0.3230,0.0204,0.0285,0.0455,1,0.0262,25.68,10.31,y,13.79,y,1,5,0.339,2017-07-26,2,11:30,12:11,22.886,58.474,A,2.217521194,0.093527988,2.215553677,0.023781716,4845.430405
79,RR,AD79,L,2017-07-27,5,0.286,2.45,5.37,0.45,23.4,y,1,White,2017-07-31,9,0.286,N,28,22.96,56.122,10,10,61.46,6.146,32.516,y,114.116,56.309,y,87.911,1,0,0,1,444.908,7.238984705,288.92,4.700943703,y,42,1.291672,1.485627,y,2017-07-31,9,13:46,0.2890,0.0210,0.0252,0.0319,2,0.0458,26.27,9.99,y,14.64,y,1,6,0.286,2017-07-28,1,11:11,12:37,22.48,58.385,B,1.31293105,0.089864718,2.71890411,0.023703271,4763.283927
66,VW,AD66,H,2017-07-25,4,0.283,2.02,3.25,0.62,25.4,y,1,White,2017-07-27,6,0.283,Y,16,22.878,61.818,11,11,43.111,3.919182,29.096,y,1.743,3.499,y,122.724,0,1,1,1,116.295,2.697571385,289.618,6.717960613,y,38,1.306021,3.068141,y,2017-07-29,8,10:49,0.2880,0.0325,0.0303,0.0432,2,0.0429,29.36,13.62,y,24.28,y,1,5,0.283,2017-07-26,3,11:30,12:11,22.886,58.474,A,1.093178902,0.107863433,2.919354839,0.016226774,4811.426681
25,RR,AD25,L,2017-07-19,4,0.242,2.92,7.38,0.4,23.7,y,1,Black,2017-07-20,5,0.242,N,3,22.048,67.662,10,11,25.208,2.291636,2.513,y,7.343,2.465,y,13.271,1,1,1,1,77.793,3.086044113,317.179,12.58247382,y,5,1.989654,0.329761,y,2017-07-22,7,10:14,0.2559,0.0182,0.0296,0.0292,2,0.0348,16.97,14.27,y,15.39,y,1,5,0.242,2017-07-20,2,10:48,11:31,22.014,67.408,C,1.2090117,0.136338834,3.253714286,0.019397543,4755.182759
57,VW,AD57,L,2017-07-25,4,0.331,3.99,5.23,0.76,24.3,y,1,Black,2017-07-30,9,0.331,N,25,22.946,54.107,14,14,32.072,2.290857,9.426,y,22.434,15.242,y,299.561,0,0,1,1,56.03,1.747006735,335.556,10.46258419,y,14,1.485254,3.532633,y,2017-07-31,10,13:54,0.3270,0.0238,0.0279,0.0424,2,0.0468,25.75,10.78,n,0.00,y,2,10,0.331,2017-07-31,4,12:33,13:02,23.041,55.157,F,0.492153307,0.083759024,2.707317073,0.005750732,4820.065383
84,VW,AD84,L,2017-07-27,4,0.297,1.88,2.56,0.73,24.5,y,1,Black ,2017-07-31,8,0.297,N,31,22.895,55.054,20,20,100.292,5.0146,66.877,y,0.735,31.424,y,15.315,1,1,1,1,140.567,1.401577394,461.63,4.60285965,y,87,1.300895674,3.29193476,y,2017-08-01,9,14:48,0.2890,0.0254,0.0258,0.0489,2,0.0428,18.24,9.32,y,16.10,y,1,5,0.297,2017-07-28,2,11:11,12:37,22.48,58.385,B,1.184896388,0.12278328,3.047687861,0.016747514,4673.079122
1,CM,AD1,H,2017-07-13,4,0.334,7.13,12.46,0.57,23.2,y,0,White,2017-07-21,12,0.334,Y,5,22,67.91,0,,,,,n,,,n,,0,0,0,0,,,,,y,21,1.669449,0.444606,y,2017-07-21,12,15:31,0.3247,0.0230,0.0261,0.0392,2,0.0463,25.61,8.89,y,15.10,y,1,11,0.334,2017-07-20,2,10:35,10:43,22.262,67.34,B,2.325946,0.120927604,3.662637363,0.01657767,5035.725689
21,VW,AD21,L,2017-07-18,4,0.24,2.92,3.99,0.73,24.4,y,0,White,2017-07-22,8,0.24,Y,6,21.845,68.338,0,,,,,n,,,n,,0,0,0,0,,,,,y,2,0.809717,0.477367,y,2017-07-24,10,12:57,0.2400,0.0150,0.0281,0.0254,2,0.0310,16.67,9.29,y,13.97,y,1,6,0.24,2017-07-20,4,10:19,10:43,22.262,67.34,B,0.770026178,0.090037739,3.06360424,0.013119258,4753.344644
23,BP,AD23,H,2017-07-18,4,0.213,2.37,3.93,0.6,23.9,y,0,White,2017-07-20,6,0.213,N,3,22.048,67.662,1,,,,,n,,,n,,0,0,0,0,,,,,y,2,0.795862,0.616876,y,2017-07-21,7,15:55,0.2075,0.0114,0.0226,0.0352,2,0.0305,17.02,11.83,n,0.00,y,1,5,0.213,2017-07-19,2,16:43,17:18,22.274,64.771,D,1.194457045,0.142123284,3.798507463,0.014819403,4852.158277
27,VW,AD27,L,2017-07-19,4,0.33,2.85,4.49,0.64,22.7,y,0,White,2017-07-20,5,0.33,Y,2,21.881,67.465,1,,,,,n,,9.298,y,119.005,0,0,0,0,37.564,0.543350594,,,y,3,0.549853,1.938753,y,2017-07-22,7,10:32,0.3148,0.0232,0.0326,0.0360,2,0.4700,20.15,15.20,y,21.45,y,1,5,0.33,2017-07-20,1,10:48,11:31,22.014,67.408,C,0.516289495,0.139236316,2.885964912,0.026960994,4536.372604
